Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
IGKV3D-11	8.124266611510002	4.513545721298788	0.38679997995265564	0.5919726034098775	0.9808163488304377	FALSE
IGLV3-22	1.2462036849307372	3.5590130139300413	0.8497329289537224	0.037396100700559286	0.8531397593385441	FALSE
PDCD1LG2	7.773313903281468	2.679834486212817	0.2985439068944356	0.4120579853668811	0.9640001410342711	FALSE
IGKV2-24	64.378469318401	2.629427851415003	0.2945966683352806	0.15022871481309127	0.9369321113908191	FALSE
IFI27	91.22337430976025	2.1772796942815353	0.32909504460238864	0.018670163086623077	0.7630959275002317	FALSE
IGLV1-41	3.197999690864943	2.113486852894135	0.5274845835853547	0.836167793042111	0.9929788160009817	FALSE
IGKV2D-24	2.838719363771426	2.032670979653607	0.5137422011482855	0.9685122496899952	0.9992116652676296	FALSE
IGKV1-33	211.89661228756034	1.9012723395485172	0.2616972663367389	0.2735185996790532	0.9452538660029947	FALSE
SDC1	9.210056014487009	1.845167575306347	0.39838092629662575	0.6011436425207259	0.9808163488304377	FALSE
IGHG1	6953.789384850034	1.7183888824784037	0.32728880480320427	0.1708763902247157	0.9369321113908191	FALSE
IGHV3-53	39.757871611311025	1.6677058503558957	0.2887974271001838	6.511765245635592e-5	0.09914162586480188	FALSE
GCNT3	0.8447188900914105	1.6534944993938447	0.6017577869223347	0.36176004218279617	NA	NA
IGLV6-57	75.52963827435974	1.6336175968325928	0.3262631001781437	0.0071076577199391065	0.6834574028594078	FALSE
IGHV5-51	200.49802997654766	1.6083668256642965	0.25622531332665227	0.47568671692592224	0.969737369845066	FALSE
FBXO39	2.938923782118143	1.5538955542436454	0.5039830467125043	0.027580092247708556	0.848550546499229	FALSE
IGHG3	1237.929784635215	1.5476253120698165	0.2553472229163668	0.22792359450097296	0.9431011686382762	FALSE
ALMS1P1	8.687000369559591	1.5065473671385232	0.27845957570332536	5.892388108911897e-9	1.0765393074982036e-4	TRUE
FER1L4	12.262480190071928	1.4765764804599602	0.25990630676579907	0.005993769462681808	0.6571380326169658	FALSE
IGLV1-44	262.2394916894744	1.4409474265910367	0.2668906334236293	0.6820895972314622	0.9827494532330928	FALSE
IGKV2-30	183.38874463905884	1.4138022656679539	0.33507028515107323	0.016634797615145903	0.7376644476425137	FALSE
IGHV2-5	149.28922285787715	1.3666297111117205	0.2874423122536948	0.6694432957233155	0.9827494532330928	FALSE
IGHV4-30-2	28.499947458955955	1.3634758263621538	0.35765468112739124	0.41995337434443725	0.9640001410342711	FALSE
IGLV3-21	241.6601078317144	1.3313685932870842	0.3069172581815497	0.7738678401161913	0.9887783582133083	FALSE
IGLC1	1486.6266329404698	1.3236041146161726	0.2640571179507875	0.2801970210297766	0.9462227688227728	FALSE
IGHV3-48	137.9604538202125	1.3078216365219544	0.24635030140829312	0.3551380431969693	0.9600867172258346	FALSE
IGHV3-33	212.84911017096098	1.3066331896017858	0.2795478209108901	0.06141779991392447	0.8842420838671395	FALSE
IGKV4-1	486.38936182641885	1.2892392993458235	0.25460096373173674	0.07283326731967701	0.8974333869626038	FALSE
IGKV1D-33	2.1626750287781724	1.280900366186294	0.6287251730003677	0.5455767074954909	0.9771871191334361	FALSE
C1QC	22.344228902901165	1.2787850715624371	0.3518187115336463	2.10995322655357e-5	0.0432976888300683	TRUE
IGHM	18124.078856756063	1.2745504667097673	0.1851718629558256	4.555057311789372e-4	0.2442238290979351	FALSE
CARD17	7.915087655204023	1.2409229408216986	0.35343987813359545	2.8164572805660976e-5	0.0514566745159426	FALSE
CAV1	12.099817478125846	1.2292722247678503	0.33632203005579914	1.8566889456881383e-5	0.0432976888300683	TRUE
IGHV1-58	9.034932728584696	1.2254632961904122	0.40086011143931594	0.25154257688384	0.9444562558883316	FALSE
IGLV4-60	18.195784591619493	1.1734881348823318	0.5709122585130394	0.2821380412444263	0.9462227688227728	FALSE
CLRN1	0.8130404191300314	1.1578798909818853	0.9168793292117828	0.005085744170074787	NA	NA
IGKV2D-29	41.693505246814695	1.157563483861561	0.3836672784284237	1.7117559293197977e-4	0.20849187219115137	FALSE
EXOC3L4	0.857107231213238	1.1529269740445667	0.7845366595784133	0.003881230422894387	NA	NA
NUPR1	1.7497061861098866	1.1496808302892159	0.5925608997878836	0.8807334165861411	0.9962420887147879	FALSE
MT3	1.8324402579074943	1.1360477827180748	0.586752703725081	0.002110463569104576	0.5407482668001564	FALSE
IGLC7	32.62191238391719	1.1244916467440325	0.4003403877914211	0.1356131463760142	0.9355537491730884	FALSE
IGHV3-11	90.8482819311275	1.1133581585624874	0.2942813421894186	0.023778474929245175	0.8222883786755313	FALSE
IGHV1-46	74.99646973924149	1.0610221835480327	0.2798019188793069	0.827857351952081	0.9928096100499756	FALSE
IGHV3-21	204.45047070736294	1.0448872650591317	0.266046025561777	5.940505220737977e-6	0.018088838397147138	TRUE
IGHV4-39	190.49165350581487	1.0443754699685888	0.29479833827150986	0.16118258268838415	0.9369321113908191	FALSE
IGHV3-74	107.86678806327778	1.03598663353575	0.32711905072238795	0.11976024225354069	0.9245709768169472	FALSE
KLHL14	51.94548334936277	1.030090337728663	0.18787618162370104	0.008113145778135407	0.6982272643733797	FALSE
RNASE2	429.34507924384775	1.0267237023928775	0.21610623356006453	1.8284016471508806e-7	0.0016702449046723294	TRUE
IGKC	9642.308317207142	1.0262373847122974	0.25246074220968834	0.32715146480147916	0.9510234077166778	FALSE
IGLC3	1625.3946583714305	1.0215699888424166	0.2774921896667953	0.6177276503158156	0.9811544160044796	FALSE
IGLL5	511.3829052979575	1.0098423244978496	0.2658238264453444	0.39554520953935385	0.9639983569635406	FALSE
RPL26P9	0.692436343487413	0.9996295404059359	1.0508745018004753	0.0074893756736455555	NA	NA
NACAD	4.619612119597159	0.9942524769468204	0.26877420595120943	0.6300952621782747	0.9815689324690552	FALSE
IGHV3-30	421.9797817420328	0.9485491599560307	0.2867570830726506	0.080629950698763	0.9037781861782385	FALSE
IGHV1-3	73.49598040298754	0.9377791543080497	0.39083233618474933	8.497419518689177e-4	0.33031458426904525	FALSE
IGHV3-13	33.3759668735612	0.9317649244150853	0.3668277889104033	5.921709271343454e-4	0.2638771424084022	FALSE
IGHV2-70D	18.8548956878472	0.9306379054306937	0.9582377866932251	0.99482427735882	0.9992665463643303	FALSE
C1QB	53.94773785762745	0.8960580692419439	0.3139838337642629	2.377150092362158e-4	0.2154172917357348	FALSE
IGLV1-40	268.97861309279796	0.8783946420575119	0.2717527012894062	0.5401673457500552	0.9767527841001401	FALSE
IGHG4	670.3570146169037	0.8723706519852182	0.31902174208140355	3.334063825388436e-4	0.2442238290979351	FALSE
LOC100996318	45.66885675060858	0.8692363219497019	0.20855342874929647	1.8227821425868356e-6	0.00781308852405878	TRUE
IGLV1-51	236.6407038334691	0.8567320686682518	0.3014763261558297	0.2825459918312471	0.9462227688227728	FALSE
IGHV6-1	44.8348660482394	0.8539661564568015	0.336988203415955	0.3381985635134087	0.9573326096362192	FALSE
IGHV3-7	218.06127230330878	0.8499099556159353	0.32015392831660966	0.12671243974699697	0.9333972064576997	FALSE
FCGR1A	559.5611102069523	0.8430428883322525	0.2118549142571833	0.14247307539986004	0.9369321113908191	FALSE
OTOF	36.03917576045873	0.8398673026270916	0.3299022298439867	0.597300047990731	0.9808163488304377	FALSE
IGHV4-28	25.379464877853433	0.829214443512922	0.3608456734137378	0.4412767057662527	0.9659930165021062	FALSE
P2RY14	162.59777297654634	0.8271657300647571	0.18185613924071353	0.6118963424939627	0.9808163488304377	FALSE
GLYATL2	2.752527904877207	0.8142586327534536	0.611737969522727	0.3233545197078863	0.9510234077166778	FALSE
IGKV1D-39	582.5595619068055	0.8133145207222254	0.2912519213220854	0.4245784693526097	0.9640875758230399	FALSE
IGHV3-23	488.90344390530635	0.8126398777238061	0.2794351937145713	0.18482021983307764	0.9431011686382762	FALSE
CACNA1E	93.77355700037096	0.7956619299428312	0.16134077613381517	0.5983046626213271	0.9808163488304377	FALSE
IGHV3-72	32.16685144368646	0.7948461894994457	0.4167742332889796	0.002266565053808152	0.5407482668001564	FALSE
TXNDC5	1578.5247408358414	0.7804487240549616	0.25977322589124047	0.3374946730039002	0.9573326096362192	FALSE
IGHV2-26	22.334284140189336	0.7776005545805751	0.36608785567591184	0.8417163982214183	0.9935325667467972	FALSE
FCGR1CP	94.32887569338597	0.7677662105253795	0.2842148298712538	3.389123596735193e-4	0.2442238290979351	FALSE
IGKV2-28	224.19009802034796	0.749633287038948	0.3002951335892683	0.24955093447238133	0.9431011686382762	FALSE
IGHV1-18	142.03212597576794	0.7405360853007033	0.27575488182670155	3.5352608038216e-4	0.2442238290979351	FALSE
BHLHA15	13.565021850599907	0.734770152498501	0.49946865353561887	0.004424830735399856	0.643488275934588	FALSE
ZDHHC19	31.59548874273199	0.7318369955239967	0.2114267836593378	0.7290045887184086	0.9860230931440129	FALSE
MZB1	553.6065974781839	0.7307756985063678	0.22680747992893432	0.3685947014388239	0.9617538506125155	FALSE
IGKV1-5	560.478095298103	0.7307174677371925	0.2829210595141536	0.24357505584193584	0.9431011686382762	FALSE
NOTCH2NLB	59.64497221591146	0.7092087694190256	0.277120053619366	4.8125057609450713e-4	0.2442238290979351	FALSE
IGLV2-14	570.4880820519423	0.7058954823693895	0.25804070201122636	0.8360994370481771	0.9929788160009817	FALSE
IGKV3-15	392.8119978760293	0.7058228575480799	0.2713813006139645	0.16238874712274987	0.9369321113908191	FALSE
MIXL1	6.323933900946403	0.7057852864504882	0.4914661473869717	0.004387362909754632	0.643488275934588	FALSE
CD274	149.32526841604042	0.6950938730935627	0.2758516500804379	0.9840462733503754	0.9992665463643303	FALSE
IGHV3-49	45.19080964360926	0.6930749674730143	0.33830558646280523	0.001598870135398208	0.4636723392654803	FALSE
IGHV4-59	268.72661890415105	0.661436090368462	0.28819388159781545	0.9409506982073522	0.9976950859213605	FALSE
IGLC2	2839.922638386515	0.6589618839956004	0.27118408645577347	0.988019687115536	0.9992665463643303	FALSE
ANKRD22	58.770826580061154	0.6507916713529873	0.32972817037011426	0.7290723803536472	0.9860230931440129	FALSE
IGDCC4	2.090459227139811	0.6345801313632793	0.4184396933584675	0.8191193073545134	0.9928096100499756	FALSE
GBP5	2924.798807647118	0.6292410887459059	0.22131928797680953	0.49709735316296344	0.9720353265100822	FALSE
IGKV3-20	519.1153292985662	0.6018710369043568	0.2734371101930521	0.40492827149436533	0.9640001410342711	FALSE
SEPTIN4	62.15856309550183	0.5994605962108851	0.2099829547712099	0.352430752415414	0.9600867172258346	FALSE
CASP5	113.70338574430289	0.5888838326078593	0.17962500361625552	0.8350585361409015	0.9929788160009817	FALSE
JCHAIN	1413.6046940850724	0.5835720268709124	0.36760948670514576	0.6453218528987537	0.9825130111992789	FALSE
LINC01679	12.483052087246534	0.5689130868187935	0.21832469994321901	3.805792770235166e-4	0.2442238290979351	FALSE
IGLV2-11	197.5866581975727	0.5650412828303535	0.34127524005361026	0.6512351282741412	0.9827494532330928	FALSE
MOXD1	8.818157509377015	0.5613837296746328	0.3180953284533364	0.002428768644982694	0.5542123026258347	FALSE
ELL2	202.38742998782155	0.5480660135615179	0.1272314949247269	0.03142177309366748	0.8486117580725598	FALSE
EFCAB2	81.69503462002113	0.5369726590337708	0.12984278053697537	1.7398346246875427e-6	0.00781308852405878	TRUE
LINC01146	12.399818754584263	0.5179911127798655	0.20873674139478202	4.849911837656949e-4	0.2442238290979351	FALSE
AXL	16.04213065605992	0.5124704997902457	0.3016117290166008	0.8749685238873902	0.9962420887147879	FALSE
CD109	12.04789142406133	0.5122302858311086	0.19958008457516244	3.593681706708915e-4	0.2442238290979351	FALSE
RPL3P7	6.2197119850860565	0.49914849190551525	0.3807482283546027	0.029358728890763342	0.8486117580725598	FALSE
IGLV1-47	230.26892469388497	0.4923476969619682	0.44702341136202073	0.6875025548598894	0.9827494532330928	FALSE
LOC100996442	59.392615533712465	0.491070347473013	0.21205615657361923	7.46985037398757e-4	0.31604250401522205	FALSE
FCGR1BP	375.5136385678414	0.4822751897032673	0.2134022726749288	8.814334667769938e-4	0.3354956132919933	FALSE
WDR17	5.327632553924041	0.4759473244057468	0.3735233652981336	0.003984472041260165	0.643488275934588	FALSE
FAM20A	34.41245924682662	0.4678541759697971	0.18602966194026388	4.286465949759529e-4	0.2442238290979351	FALSE
APOL4	15.304288220977137	0.4666691242157162	0.4174396302813026	0.8899031051031449	0.9962420887147879	FALSE
CTSL	104.46837131748794	0.4538831836817644	0.1857577267047488	5.562757458194395e-4	0.25407894690302896	FALSE
CADM1	19.59243261091179	0.4531918832661357	0.23785208164176863	0.0017669924387534643	0.48913563418220896	FALSE
ITM2C	679.2887547891045	0.4384787703435724	0.159802475885986	0.5017796799432827	0.9727318329561867	FALSE
KCNJ10	5.113833983853174	0.42606469394990254	0.6266828724796051	0.005556819349788245	0.6566354615550466	FALSE
PSTPIP2	633.4926306339237	0.41679023269549925	0.1017128132686751	0.11137557777786188	0.9200516356640948	FALSE
