"","Gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","threshold"
"2","IGLV3-22",1.24620368493074,3.55901301393004,0.849732928953722,0.0373961007005593,0.853139759338544,FALSE
"4","IGKV2-24",64.378469318401,2.629427851415,0.294596668335281,0.150228714813091,0.936932111390819,FALSE
"5","IFI27",91.2233743097602,2.17727969428154,0.329095044602389,0.0186701630866231,0.763095927500232,FALSE
"10","IGHG1",6953.78938485003,1.7183888824784,0.327288804803204,0.170876390224716,0.936932111390819,FALSE
"11","IGHV3-53",39.757871611311,1.6677058503559,0.288797427100184,6.51176524563559e-05,0.0991416258648019,FALSE
"13","IGLV6-57",75.5296382743597,1.63361759683259,0.326263100178144,0.00710765771993911,0.683457402859408,FALSE
"15","FBXO39",2.93892378211814,1.55389555424365,0.503983046712504,0.0275800922477086,0.848550546499229,FALSE
"16","IGHG3",1237.92978463521,1.54762531206982,0.255347222916367,0.227923594500973,0.943101168638276,FALSE
"17","ALMS1P1",8.68700036955959,1.50654736713852,0.278459575703325,5.8923881089119e-09,0.00010765393074982,TRUE
"18","FER1L4",12.2624801900719,1.47657648045996,0.259906306765799,0.00599376946268181,0.657138032616966,FALSE
"20","IGKV2-30",183.388744639059,1.41380226566795,0.335070285151073,0.0166347976151459,0.737664447642514,FALSE
"26","IGHV3-33",212.849110170961,1.30663318960179,0.27954782091089,0.0614177999139245,0.88424208386714,FALSE
"27","IGKV4-1",486.389361826419,1.28923929934582,0.254600963731737,0.072833267319677,0.897433386962604,FALSE
"29","C1QC",22.3442289029012,1.27878507156244,0.351818711533646,2.10995322655357e-05,0.0432976888300683,TRUE
"30","IGHM",18124.0788567561,1.27455046670977,0.185171862955826,0.000455505731178937,0.244223829097935,FALSE
"31","CARD17",7.91508765520402,1.2409229408217,0.353439878133595,2.8164572805661e-05,0.0514566745159426,FALSE
"32","CAV1",12.0998174781258,1.22927222476785,0.336322030055799,1.85668894568814e-05,0.0432976888300683,TRUE
"35","CLRN1",0.813040419130031,1.15787989098189,0.916879329211783,0.00508574417007479,NA,NA
"36","IGKV2D-29",41.6935052468147,1.15756348386156,0.383667278428424,0.00017117559293198,0.208491872191151,FALSE
"37","EXOC3L4",0.857107231213238,1.15292697404457,0.784536659578413,0.00388123042289439,NA,NA
"39","MT3",1.83244025790749,1.13604778271807,0.586752703725081,0.00211046356910458,0.540748266800156,FALSE
"40","IGLC7",32.6219123839172,1.12449164674403,0.400340387791421,0.135613146376014,0.935553749173088,FALSE
"41","IGHV3-11",90.8482819311275,1.11335815856249,0.294281342189419,0.0237784749292452,0.822288378675531,FALSE
"43","IGHV3-21",204.450470707363,1.04488726505913,0.266046025561777,5.94050522073798e-06,0.0180888383971471,TRUE
"44","IGHV4-39",190.491653505815,1.04437546996859,0.29479833827151,0.161182582688384,0.936932111390819,FALSE
"45","IGHV3-74",107.866788063278,1.03598663353575,0.327119050722388,0.119760242253541,0.924570976816947,FALSE
"46","KLHL14",51.9454833493628,1.03009033772866,0.187876181623701,0.00811314577813541,0.69822726437338,FALSE
"47","RNASE2",429.345079243848,1.02672370239288,0.216106233560065,1.82840164715088e-07,0.00167024490467233,TRUE
"51","RPL26P9",0.692436343487413,0.999629540405936,1.05087450180048,0.00748937567364556,NA,NA
"53","IGHV3-30",421.979781742033,0.948549159956031,0.286757083072651,0.080629950698763,0.903778186178238,FALSE
"54","IGHV1-3",73.4959804029875,0.93777915430805,0.390832336184749,0.000849741951868918,0.330314584269045,FALSE
"55","IGHV3-13",33.3759668735612,0.931764924415085,0.366827788910403,0.000592170927134345,0.263877142408402,FALSE
"57","C1QB",53.9477378576275,0.896058069241944,0.313983833764263,0.000237715009236216,0.215417291735735,FALSE
"59","IGHG4",670.357014616904,0.872370651985218,0.319021742081404,0.000333406382538844,0.244223829097935,FALSE
"60","LOC100996318",45.6688567506086,0.869236321949702,0.208553428749296,1.82278214258684e-06,0.00781308852405878,TRUE
"63","IGHV3-7",218.061272303309,0.849909955615935,0.32015392831661,0.126712439746997,0.9333972064577,FALSE
"64","FCGR1A",559.561110206952,0.843042888332252,0.211854914257183,0.14247307539986,0.936932111390819,FALSE
"70","IGHV3-23",488.903443905306,0.812639877723806,0.279435193714571,0.184820219833078,0.943101168638276,FALSE
"72","IGHV3-72",32.1668514436865,0.794846189499446,0.41677423328898,0.00226656505380815,0.540748266800156,FALSE
"75","FCGR1CP",94.328875693386,0.76776621052538,0.284214829871254,0.000338912359673519,0.244223829097935,FALSE
"76","IGKV2-28",224.190098020348,0.749633287038948,0.300295133589268,0.249550934472381,0.943101168638276,FALSE
"77","IGHV1-18",142.032125975768,0.740536085300703,0.275754881826702,0.00035352608038216,0.244223829097935,FALSE
"78","BHLHA15",13.5650218505999,0.734770152498501,0.499468653535619,0.00442483073539986,0.643488275934588,FALSE
"81","IGKV1-5",560.478095298103,0.730717467737192,0.282921059514154,0.243575055841936,0.943101168638276,FALSE
"82","NOTCH2NLB",59.6449722159115,0.709208769419026,0.277120053619366,0.000481250576094507,0.244223829097935,FALSE
"84","IGKV3-15",392.811997876029,0.70582285754808,0.271381300613964,0.16238874712275,0.936932111390819,FALSE
"85","MIXL1",6.3239339009464,0.705785286450488,0.491466147386972,0.00438736290975463,0.643488275934588,FALSE
"87","IGHV3-49",45.1908096436093,0.693074967473014,0.338305586462805,0.00159887013539821,0.46367233926548,FALSE
"97","LINC01679",12.4830520872465,0.568913086818793,0.218324699943219,0.000380579277023517,0.244223829097935,FALSE
"99","MOXD1",8.81815750937701,0.561383729674633,0.318095328453336,0.00242876864498269,0.554212302625835,FALSE
"100","ELL2",202.387429987822,0.548066013561518,0.127231494924727,0.0314217730936675,0.84861175807256,FALSE
"101","EFCAB2",81.6950346200211,0.536972659033771,0.129842780536975,1.73983462468754e-06,0.00781308852405878,TRUE
"102","LINC01146",12.3998187545843,0.517991112779866,0.208736741394782,0.000484991183765695,0.244223829097935,FALSE
"104","CD109",12.0478914240613,0.512230285831109,0.199580084575162,0.000359368170670891,0.244223829097935,FALSE
"105","RPL3P7",6.21971198508606,0.499148491905515,0.380748228354603,0.0293587288907633,0.84861175807256,FALSE
"107","LOC100996442",59.3926155337125,0.491070347473013,0.212056156573619,0.000746985037398757,0.316042504015222,FALSE
"108","FCGR1BP",375.513638567841,0.482275189703267,0.213402272674929,0.000881433466776994,0.335495613291993,FALSE
"109","WDR17",5.32763255392404,0.475947324405747,0.373523365298134,0.00398447204126016,0.643488275934588,FALSE
"110","FAM20A",34.4124592468266,0.467854175969797,0.186029661940264,0.000428646594975953,0.244223829097935,FALSE
"112","CTSL",104.468371317488,0.453883183681764,0.185757726704749,0.000556275745819439,0.254078946903029,FALSE
"113","CADM1",19.5924326109118,0.453191883266136,0.237852081641769,0.00176699243875346,0.489135634182209,FALSE
"115","KCNJ10",5.11383398385317,0.426064693949903,0.626682872479605,0.00555681934978825,0.656635461555047,FALSE
"116","PSTPIP2",633.492630633924,0.416790232695499,0.101712813268675,0.111375577777862,0.920051635664095,FALSE
"117","C2",84.8916220273112,0.407202194004089,0.40670026741013,0.00564019430077596,0.656635461555047,FALSE
"118","EAF2",67.3406733327232,0.404877273165684,0.159939290070153,0.000426032628304022,0.244223829097935,FALSE
"119","PYCR1",16.4303024480472,0.394584511622132,0.438123446779923,0.00574698609726445,0.656635461555047,FALSE
"120","NLRP7",16.4768666958562,0.377391570390726,0.216756850419047,0.0022040756814838,0.540748266800156,FALSE
"122","SLC16A14",10.3719215966854,0.371033584805706,0.395061508338765,0.00527675384074147,0.65582512020644,FALSE
"124","DSC2",248.711961307345,0.367393549361639,0.231947154604775,0.00292467685885818,0.580802676210205,FALSE
"125","CD38",332.513344743195,0.354767332810457,0.203095582802901,0.00222662019840698,0.540748266800156,FALSE
"126","HLA-K",28.6242768199295,0.352589279172376,0.375789662999529,0.00544401514660472,0.656635461555047,FALSE
"128","TIFA",204.380117506002,0.341250916952588,0.111228441735396,8.56604098782958e-05,0.120385822190497,FALSE
"130","DENND5B",60.2406601990947,0.308903287908454,0.226456027437512,0.00367440005145434,0.639345608953056,FALSE
"131","PRDX4",117.206740482058,0.302432001491546,0.0981478153892998,0.197873034222466,0.943101168638276,FALSE
"132","NET1",76.3900513058176,0.30164714124522,0.121941629556999,0.000455658608142136,0.244223829097935,FALSE
"133","CHPF",130.602546385203,0.300750529742353,0.190699653961985,0.00284905118185881,0.576839648917557,FALSE
"134","ANGPTL6",29.5870581884851,0.2995604172045,0.25719983932843,0.00427417831340776,0.643488275934588,FALSE
"135","CACHD1",25.208895748312,0.292229395190717,0.249358516565104,0.00414420421523879,0.643488275934588,FALSE
"137","SHOC1",62.269825587251,0.287731906826486,0.235282083448045,0.00404135290616295,0.643488275934588,FALSE
"138","SPATS2",99.321771410034,0.285464359456236,0.142369172117817,0.00131214489454398,0.461017061986893,FALSE
"139","PLAG1",32.9053392287451,0.282318685860911,0.157454818295888,0.0018095047260376,0.493427632010551,FALSE
"141","CYP4F22",47.3834082336166,0.260673977244905,0.282717276839035,0.00519035692800689,0.649505623799219,FALSE
"142","SEC24A",169.732519370856,0.246764098011913,0.110220312191962,0.000795728253130827,0.316042504015222,FALSE
"143","MYH7B",27.4676901914532,0.225835300786496,0.149861070672482,0.00263782170515555,0.56463451629638,FALSE
"144","RAB30",143.389475150978,0.22240579564602,0.124946657981132,0.00196277465265244,0.514722734437835,FALSE
"145","NAIP",2444.08086503886,0.221442294860012,0.200097605078027,0.00490569636946127,0.643488275934588,FALSE
"146","DPY19L4",49.0650598201543,0.213980125002084,0.140034631159446,0.00265452626070137,0.56463451629638,FALSE
"147","GRK4",17.707324155062,0.203610429848978,0.239255678060183,0.00458442542316777,0.643488275934588,FALSE
"148","UAP1",116.308883187705,0.197454205298514,0.118491251416935,0.00227901568383208,0.540748266800156,FALSE
"149","LINC01504",37.7613250927217,0.193758684630852,0.189449374077325,0.00432272967835484,0.643488275934588,FALSE
"150","PDHX",93.7941557993654,0.19363380890417,0.0906464759686927,0.000940893937777844,0.350819025371453,FALSE
"151","TXNDC11",691.208222460292,0.188980348405169,0.12009969434081,0.00265783078278537,0.56463451629638,FALSE
"152","CAAP1",66.2597036620992,0.187634263950745,0.0970785949124665,0.00139056960815877,0.46367233926548,FALSE
"153","MDM1",143.744309572887,0.186991657951958,0.0698886644817322,0.000247606082454868,0.215417291735735,FALSE
"154","ERLEC1",238.811823518137,0.182102957060906,0.0961901429444831,0.00156394657786098,0.46367233926548,FALSE
"155","TXK",272.561960274687,0.175338682317097,0.120491975768325,0.00307135259136646,0.590180787543168,FALSE
"156","PXYLP1",136.924302123259,0.174258111450697,0.115683032186156,0.0028618790314374,0.576839648917557,FALSE
"157","GAS8",52.8589380399164,0.17185194677253,0.117581800492993,0.00276859434760937,0.576839648917557,FALSE
"158","TCF7L2",323.033499641176,0.169400753874997,0.150098326442502,0.00419857675024614,0.643488275934588,FALSE
"159","KLHL6",868.751510656468,0.166240657442199,0.0500404920732839,3.65623968697015e-05,0.0607268173463133,FALSE
"161","RBM45",80.9405456079577,0.156260188071081,0.0959290324290638,0.00227515222208882,0.540748266800156,FALSE
"162","NUP35",43.7864637692487,0.150162118501038,0.134784046387013,0.00386842776861636,0.643488275934588,FALSE
"163","CETN2",144.086510428291,0.14022488401401,0.130514388939144,0.00417761061820171,0.643488275934588,FALSE
"164","ZNF45",114.115533274151,0.140142416940805,0.0738517507819831,0.00146200187991868,0.46367233926548,FALSE
"165","BBS4",124.694813759793,0.136483364339431,0.0776020323563911,0.00185082019437153,0.497271837517175,FALSE
"166","PAG1",901.801482839842,0.133921179228336,0.126005691879663,0.00475848840175678,0.643488275934588,FALSE
"167","DUSP3",645.105784056806,0.128688290018825,0.172764141669791,0.00593020531782062,0.656635461555047,FALSE
"168","RAB11FIP2",136.350420675982,0.127724332670207,0.0956119133469585,0.00325334976672482,0.600390911495581,FALSE
"169","ZNF197",110.624140574756,0.124491081143146,0.125179182136434,0.0045066726593872,0.643488275934588,FALSE
"170","ZNF660-ZNF197",110.624140574756,0.124491081143146,0.125179182136434,0.0045066726593872,0.643488275934588,FALSE
"171","UBQLN2",828.127840905671,0.120769412884382,0.0696089152902896,0.0019721177564668,0.514722734437835,FALSE
"172","CHD9",298.637088569699,0.119930633754584,0.113979233064655,0.00450419786425727,0.643488275934588,FALSE
"173","ZSCAN29",329.223030101824,0.119747769297319,0.0640860605942801,0.0015669504453697,0.46367233926548,FALSE
"174","GTF2A1",269.20263930849,0.117761323191538,0.115636739729253,0.00457169335647703,0.643488275934588,FALSE
"175","EPG5",689.482862931299,0.117731601033565,0.0815433338654046,0.002846464510036,0.576839648917557,FALSE
"176","COQ7",112.734345033815,0.11477740628995,0.0841357895798747,0.0030814480812895,0.590180787543168,FALSE
"177","MAGEH1",132.975450510875,0.113295221545117,0.172145075945583,0.00504368126862861,0.643488275934588,FALSE
"178","NKRF",130.9431748646,0.111354761436825,0.110959568265729,0.00446001058615174,0.643488275934588,FALSE
"179","ZNF808",176.253390387146,0.108502177058576,0.124207215821235,0.0047793892582813,0.643488275934588,FALSE
"180","C6orf120",203.113537529843,0.10404446356358,0.0716624546261195,0.00287314767660086,0.576839648917557,FALSE
"181","PDE7A",1351.97390168306,0.100891614182155,0.086473927441402,0.00434669965558581,0.643488275934588,FALSE
"182","STIM2",510.554980723477,0.0967397692503792,0.0512719713381404,0.00141757990794282,0.46367233926548,FALSE
"183","ZNF706",470.616129235711,0.0940319800336348,0.0485697311909206,0.00128238627535904,0.45939602452568,FALSE
"184","RMDN1",243.296278894643,0.0891861592023396,0.0905647730546557,0.00464588843846224,0.643488275934588,FALSE
"185","DTNB",116.92264608536,0.0874729166777222,0.195017147012783,0.00512522020789308,0.645777746194528,FALSE
"186","THUMPD3",213.772977872377,0.0838656958160567,0.0737261104865312,0.00422930980130232,0.643488275934588,FALSE
"187","DNASE1",976.551729383194,0.0649715452071159,0.137865025204135,0.00723396975227188,0.684790815409364,FALSE
"188","RPL19",18217.483336765,0.00203169330897711,0.0201611340925815,0.0507142144599443,0.876110356086204,FALSE
"190","RPL18A",17763.8967692648,0.00197458650891585,0.00778516578819191,0.221867188762424,0.943101168638276,FALSE
"196","NOL7",306.011319659626,0.00179639234430483,0.00382981044977743,0.241748166114056,0.943101168638276,FALSE
"197","ATP6V0B",3365.94430821833,0.00174831305402503,0.00346703515086787,0.157703087424863,0.936932111390819,FALSE
"202","RPL39",5915.12110277911,0.00163909391128561,0.00288087411239603,0.0370322572637461,0.853139759338544,FALSE
"204","EEF1G",18016.4464117883,0.00160859055485451,0.00275789099551517,0.0708538664278374,0.897433386962604,FALSE
"207","PBX2",6978.39698961707,0.00151762405564699,0.00246404149348023,0.215979140171771,0.943101168638276,FALSE
"212","JAK1",5757.57116329331,0.00137395339017433,0.00214073985811898,0.0393452286751155,0.854501629291808,FALSE
"221","RAP2B",1079.30561837747,0.0012167043423963,0.00190458132990409,0.132476857867668,0.935332068451479,FALSE
"226","CPPED1",7613.25545222992,0.00119685942828557,0.00188349451884856,0.0719868123577315,0.897433386962604,FALSE
"235","RGP1",637.197594802968,0.00109777715541614,0.00178023526249203,0.237207388577775,0.943101168638276,FALSE
"237","ATP6V0D1",3763.91131067585,0.00106112150419084,0.00174926626028902,0.246501111028743,0.943101168638276,FALSE
"238","HERC2",631.893954822771,0.00105927797315763,0.00174791711350748,0.204413795672909,0.943101168638276,FALSE
"239","RBM23",2067.11953067135,0.00105835435153478,0.00174654526879332,0.208502144046028,0.943101168638276,FALSE
"243","RPL31",9088.79019849719,0.0010360709562452,0.00172861079440096,0.0192328329511238,0.772474338088221,FALSE
"245","USO1",487.530613815112,0.00102701279130822,0.00172141294258127,0.20746329136727,0.943101168638276,FALSE
"264","PHTF1",194.074577386278,0.000909971372626505,0.00164306358416868,0.0393098514333512,0.854501629291808,FALSE
"270","RABGAP1L",1436.60791641364,0.000879974442092569,0.001626124280328,0.037403819845296,0.853139759338544,FALSE
"277","RPL35A",6127.45275919234,0.000849070475144812,0.00160954481944099,0.243167923333367,0.943101168638276,FALSE
"281","ARF3",2453.02763703479,0.000837051843244466,0.00160292343967479,0.173305066655901,0.936932111390819,FALSE
