"","Gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","threshold"
"2","IGLV3-22",1.24620368493074,3.55901301393004,0.849732928953722,0.0373961007005593,0.853139759338544,FALSE
"3","PDCD1LG2",7.77331390328147,2.67983448621282,0.298543906894436,0.412057985366881,0.964000141034271,FALSE
"4","IGKV2-24",64.378469318401,2.629427851415,0.294596668335281,0.150228714813091,0.936932111390819,FALSE
"5","IFI27",91.2233743097602,2.17727969428154,0.329095044602389,0.0186701630866231,0.763095927500232,FALSE
"8","IGKV1-33",211.89661228756,1.90127233954852,0.261697266336739,0.273518599679053,0.945253866002995,FALSE
"10","IGHG1",6953.78938485003,1.7183888824784,0.327288804803204,0.170876390224716,0.936932111390819,FALSE
"11","IGHV3-53",39.757871611311,1.6677058503559,0.288797427100184,6.51176524563559e-05,0.0991416258648019,FALSE
"12","GCNT3",0.844718890091411,1.65349449939384,0.601757786922335,0.361760042182796,NA,NA
"13","IGLV6-57",75.5296382743597,1.63361759683259,0.326263100178144,0.00710765771993911,0.683457402859408,FALSE
"14","IGHV5-51",200.498029976548,1.6083668256643,0.256225313326652,0.475686716925922,0.969737369845066,FALSE
"15","FBXO39",2.93892378211814,1.55389555424365,0.503983046712504,0.0275800922477086,0.848550546499229,FALSE
"16","IGHG3",1237.92978463521,1.54762531206982,0.255347222916367,0.227923594500973,0.943101168638276,FALSE
"17","ALMS1P1",8.68700036955959,1.50654736713852,0.278459575703325,5.8923881089119e-09,0.00010765393074982,TRUE
"18","FER1L4",12.2624801900719,1.47657648045996,0.259906306765799,0.00599376946268181,0.657138032616966,FALSE
"20","IGKV2-30",183.388744639059,1.41380226566795,0.335070285151073,0.0166347976151459,0.737664447642514,FALSE
"22","IGHV4-30-2",28.499947458956,1.36347582636215,0.357654681127391,0.419953374344437,0.964000141034271,FALSE
"24","IGLC1",1486.62663294047,1.32360411461617,0.264057117950788,0.280197021029777,0.946222768822773,FALSE
"25","IGHV3-48",137.960453820213,1.30782163652195,0.246350301408293,0.355138043196969,0.960086717225835,FALSE
"26","IGHV3-33",212.849110170961,1.30663318960179,0.27954782091089,0.0614177999139245,0.88424208386714,FALSE
"27","IGKV4-1",486.389361826419,1.28923929934582,0.254600963731737,0.072833267319677,0.897433386962604,FALSE
"29","C1QC",22.3442289029012,1.27878507156244,0.351818711533646,2.10995322655357e-05,0.0432976888300683,TRUE
"30","IGHM",18124.0788567561,1.27455046670977,0.185171862955826,0.000455505731178937,0.244223829097935,FALSE
"31","CARD17",7.91508765520402,1.2409229408217,0.353439878133595,2.8164572805661e-05,0.0514566745159426,FALSE
"32","CAV1",12.0998174781258,1.22927222476785,0.336322030055799,1.85668894568814e-05,0.0432976888300683,TRUE
"33","IGHV1-58",9.0349327285847,1.22546329619041,0.400860111439316,0.25154257688384,0.944456255888332,FALSE
"34","IGLV4-60",18.1957845916195,1.17348813488233,0.570912258513039,0.282138041244426,0.946222768822773,FALSE
"35","CLRN1",0.813040419130031,1.15787989098189,0.916879329211783,0.00508574417007479,NA,NA
"36","IGKV2D-29",41.6935052468147,1.15756348386156,0.383667278428424,0.00017117559293198,0.208491872191151,FALSE
"37","EXOC3L4",0.857107231213238,1.15292697404457,0.784536659578413,0.00388123042289439,NA,NA
"39","MT3",1.83244025790749,1.13604778271807,0.586752703725081,0.00211046356910458,0.540748266800156,FALSE
"40","IGLC7",32.6219123839172,1.12449164674403,0.400340387791421,0.135613146376014,0.935553749173088,FALSE
"41","IGHV3-11",90.8482819311275,1.11335815856249,0.294281342189419,0.0237784749292452,0.822288378675531,FALSE
"43","IGHV3-21",204.450470707363,1.04488726505913,0.266046025561777,5.94050522073798e-06,0.0180888383971471,TRUE
"44","IGHV4-39",190.491653505815,1.04437546996859,0.29479833827151,0.161182582688384,0.936932111390819,FALSE
"45","IGHV3-74",107.866788063278,1.03598663353575,0.327119050722388,0.119760242253541,0.924570976816947,FALSE
"46","KLHL14",51.9454833493628,1.03009033772866,0.187876181623701,0.00811314577813541,0.69822726437338,FALSE
"47","RNASE2",429.345079243848,1.02672370239288,0.216106233560065,1.82840164715088e-07,0.00167024490467233,TRUE
"48","IGKC",9642.30831720714,1.0262373847123,0.252460742209688,0.327151464801479,0.951023407716678,FALSE
"50","IGLL5",511.382905297958,1.00984232449785,0.265823826445344,0.395545209539354,0.963998356963541,FALSE
"51","RPL26P9",0.692436343487413,0.999629540405936,1.05087450180048,0.00748937567364556,NA,NA
"53","IGHV3-30",421.979781742033,0.948549159956031,0.286757083072651,0.080629950698763,0.903778186178238,FALSE
"54","IGHV1-3",73.4959804029875,0.93777915430805,0.390832336184749,0.000849741951868918,0.330314584269045,FALSE
"55","IGHV3-13",33.3759668735612,0.931764924415085,0.366827788910403,0.000592170927134345,0.263877142408402,FALSE
"57","C1QB",53.9477378576275,0.896058069241944,0.313983833764263,0.000237715009236216,0.215417291735735,FALSE
"59","IGHG4",670.357014616904,0.872370651985218,0.319021742081404,0.000333406382538844,0.244223829097935,FALSE
"60","LOC100996318",45.6688567506086,0.869236321949702,0.208553428749296,1.82278214258684e-06,0.00781308852405878,TRUE
"61","IGLV1-51",236.640703833469,0.856732068668252,0.30147632615583,0.282545991831247,0.946222768822773,FALSE
"62","IGHV6-1",44.8348660482394,0.853966156456802,0.336988203415955,0.338198563513409,0.957332609636219,FALSE
